Enforcer,Num_Properties,Input_Size,Total_Time (microseconds)
Strict_Monolithic,2,100,104.59999999999636
Strict_Monolithic,3,100,161.89999999999955
Strict_Monolithic,4,100,216.29999999998873
Strict_Monolithic,5,100,312.80000000000194
Strict_Monolithic,6,100,320.39999999999844
Strict_Monolithic,7,100,413.60000000001395
Strict_Monolithic,8,100,794.1000000002418
Strict_Monolithic,9,100,528.4000000003175
Strict_Monolithic,10,100,619.2000000169173
Strict_Serial,2,100,402.6000000294516
Strict_Serial,3,100,484.9999999692045
Strict_Serial,4,100,385.3999999705593
Strict_Serial,5,100,330.8999999944717
Strict_Serial,6,100,374.29999997584673
Strict_Serial,7,100,357.1999999962827
Strict_Serial,8,100,352.59999998515923
Strict_Serial,9,100,365.4999999866959
Strict_Serial,10,100,336.1999999924592
Strict_Serial,11,100,349.30000003896566
Strict_Serial,12,100,342.99999998665953
Strict_Serial,13,100,373.70000001146764
Strict_Serial,14,100,362.20000004050235
Strict_Parallel,2,100,46.90000002938177
Strict_Parallel,3,100,55.000000031668606
Strict_Parallel,4,100,63.60000003269306
Strict_Parallel,5,100,73.0000000430664
Strict_Parallel,6,100,85.50000001150693
Strict_Parallel,7,100,92.80000000444488
Strict_Parallel,8,100,106.00000001659282
Strict_Parallel,9,100,119.70000002747838
Strict_Parallel,10,100,131.09999997595878
Strict_Parallel,11,100,136.40000003078967
Strict_Parallel,12,100,153.19999999974243
Strict_Parallel,13,100,162.60000001011576
Strict_Parallel,14,100,172.89999999547945
LE_Monolithic,2,100,4656.3999999875705
LE_Monolithic,3,100,7531.400000004851
LE_Monolithic,4,100,9983.49999997572
LE_Monolithic,5,100,11889.299999950254
LE_Monolithic,6,100,16222.999999968124
LE_Parallel,2,100,678.100000016002
LE_Parallel,3,100,1036.6999999860127
LE_Parallel,4,100,1524.2999999713902
LE_Parallel,5,100,2003.5999999663545
LE_Parallel,6,100,1938.499999994292
Exclusive_Monolithic,2,100,290.1999999949112
Exclusive_Monolithic,3,100,357.4000000412525
Exclusive_Monolithic,4,100,465.70000000656364
Exclusive_Monolithic,5,100,668.0999999844062
Exclusive_Monolithic,6,100,735.299999973904
Exclusive_Monolithic,7,100,724.9000000228989
Exclusive_Monolithic,8,100,809.2000000488042
Exclusive_Monolithic,9,100,981.600000045546
Exclusive_Monolithic,10,100,997.4000000170236
Exclusive_Parallel,2,100,395.7000000127664
Exclusive_Parallel,3,100,567.5000000451291
Exclusive_Parallel,4,100,756.7999999764652
Exclusive_Parallel,5,100,935.4999999686697
Exclusive_Parallel,6,100,1155.000000039763
Exclusive_Parallel,7,100,1328.3000000114953
Exclusive_Parallel,8,100,1463.1000000235872
Exclusive_Parallel,9,100,1694.4000000194137
Exclusive_Parallel,10,100,1891.100000023016
Exclusive_Parallel,11,100,1947.0999999953165
Exclusive_Parallel,12,100,1985.4999999893153
Exclusive_Parallel,13,100,1986.6999999749169
Exclusive_Parallel,14,100,2008.4999999880893
