Enforcer,Num_Properties,Input_Size,Avg_Time (microseconds)
Strict_Monolithic,2,1000,982.6399999999994
Strict_Monolithic,3,1000,1549.2049999999995
Strict_Monolithic,4,1000,2171.7700000000036
Strict_Monolithic,5,1000,2681.2249999999967
Strict_Monolithic,6,1000,3230.3450000000016
Strict_Monolithic,7,1000,4045.36499999999
Strict_Monolithic,8,1000,8019.3600000000315
Strict_Monolithic,9,1000,8609.674999998873
Strict_Monolithic,10,1000,5803.695000003017
Strict_Serial,2,1000,633871.524999995
Strict_Serial,3,1000,635454.9149999997
Strict_Serial,4,1000,635523.8849999978
Strict_Serial,5,1000,629739.6699999978
Strict_Serial,6,1000,735378.9000000006
Strict_Serial,7,1000,1362540.4999999944
Strict_Serial,8,1000,1364558.4549999912
Strict_Serial,9,1000,1330390.2849999957
Strict_Serial,10,1000,1306399.0599999982
Strict_Serial,11,1000,1355516.1399999945
Strict_Serial,12,1000,1321808.8300000117
Strict_Serial,13,1000,1301443.1500000055
Strict_Serial,14,1000,1299734.6500000106
Strict_Parallel,2,1000,701.4650000087386
Strict_Parallel,3,1000,904.9650000122256
Strict_Parallel,4,1000,1266.6599999931805
Strict_Parallel,5,1000,1708.965000000262
Strict_Parallel,6,1000,1592.7100000055816
Strict_Parallel,7,1000,1796.6350000108378
Strict_Parallel,8,1000,1991.7050000174186
Strict_Parallel,9,1000,2180.509999999458
Strict_Parallel,10,1000,2427.515000005087
Strict_Parallel,11,1000,2881.1649999795463
Strict_Parallel,12,1000,2886.3499999772557
Strict_Parallel,13,1000,3144.4600000099854
Strict_Parallel,14,1000,3340.729999990799
LE_Monolithic,2,1000,19510567.26499999
LE_Monolithic,3,1000,29032267.97000001
LE_Monolithic,4,1000,30977701.260000058
LE_Monolithic,5,1000,28478009.325000018
LE_Monolithic,6,1000,33799051.73499994
LE_Monolithic,7,1000,40391684.559999965
LE_Parallel,2,1000,1367855.820000068
LE_Parallel,3,1000,2045155.1950000525
LE_Parallel,4,1000,2726424.9199999995
LE_Parallel,5,1000,3395999.455000038
LE_Parallel,6,1000,4048042.704999807
LE_Parallel,7,1000,4706302.700000197
Exclusive_Monolithic,2,1000,2958.2350000509905
Exclusive_Monolithic,3,1000,3823.49500005148
Exclusive_Monolithic,4,1000,4634.859999896435
Exclusive_Monolithic,5,1000,5601.070000057007
Exclusive_Monolithic,6,1000,6412.760000102935
Exclusive_Monolithic,7,1000,6840.719999900102
Exclusive_Monolithic,8,1000,7750.520000172401
Exclusive_Monolithic,9,1000,8706.510000047274
Exclusive_Monolithic,10,1000,10086.785000021337
Exclusive_Parallel,2,1000,2656.4100000541657
Exclusive_Parallel,3,1000,3854.7449999896344
Exclusive_Parallel,4,1000,5000.0300001102005
Exclusive_Parallel,5,1000,6101.7200001970195
Exclusive_Parallel,6,1000,7216.580000067552
Exclusive_Parallel,7,1000,8378.105000110736
Exclusive_Parallel,8,1000,9350.970000059533
Exclusive_Parallel,9,1000,10560.914999905435
Exclusive_Parallel,10,1000,11586.195000018051
Exclusive_Parallel,11,1000,11449.434999985897
Exclusive_Parallel,12,1000,11548.760000005132
Exclusive_Parallel,13,1000,11470.069999995758
Exclusive_Parallel,14,1000,11638.205000053858
